leaf_id,year,site,tree,leaf_position,leaf_missing,leaf_width,efn_n,mine_top_perc,mine_bttm_perc,mine_init_top_n,mine_init_bttm_n,leaf_missing_perc,leaf_roll_n,gall_n,blotch_mines_n,collection_date
leaf_2015_BNZ_1_1,2015,BNZ,1,1,1.0,,,,,,,,,,,2015-06-16
leaf_2015_BNZ_1_2,2015,BNZ,1,2,1.0,,,,,,,,,,,2015-06-16
leaf_2015_BNZ_1_3,2015,BNZ,1,3,0.0,58,1,0,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_4,2015,BNZ,1,4,0.0,65,0,0,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_5,2015,BNZ,1,5,0.0,79,1,0,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_6,2015,BNZ,1,6,0.0,67,1,7,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_7,2015,BNZ,1,7,0.0,56,1,20,15,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_8,2015,BNZ,1,8,0.0,53,3,22,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_9,2015,BNZ,1,9,0.0,48,2,3,2,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_10,2015,BNZ,1,10,0.0,57,1,3,2,,,30,0,0,,2015-06-16
leaf_2015_BNZ_1_11,2015,BNZ,1,11,0.0,55,2,0,20,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_12,2015,BNZ,1,12,0.0,49,2,1,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_13,2015,BNZ,1,13,0.0,48,1,0,2,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_14,2015,BNZ,1,14,0.0,41,1,0,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_15,2015,BNZ,1,15,0.0,37,2,0,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_16,2015,BNZ,1,16,0.0,25,0,0,3,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_17,2015,BNZ,1,17,0.0,19,1,0,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_1_18,2015,BNZ,1,18,0.0,10,1,0,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_2_1,2015,BNZ,2,1,0.0,41,2,0,55,,,0,0,0,,2015-06-16
leaf_2015_BNZ_2_2,2015,BNZ,2,2,0.0,47,2,70,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_2_3,2015,BNZ,2,3,0.0,47,2,0,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_2_4,2015,BNZ,2,4,0.0,50,2,30,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_2_5,2015,BNZ,2,5,0.0,44,1,0,50,,,0,0,0,,2015-06-16
leaf_2015_BNZ_2_6,2015,BNZ,2,6,0.0,48,0,98,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_2_7,2015,BNZ,2,7,0.0,47,0,95,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_2_8,2015,BNZ,2,8,0.0,35,0,70,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_3_1,2015,BNZ,3,1,0.0,43,3,80,0,,,25,0,0,,2015-06-16
leaf_2015_BNZ_3_2,2015,BNZ,3,2,0.0,37,2,0,0,,,45,0,1,,2015-06-16
leaf_2015_BNZ_3_3,2015,BNZ,3,3,0.0,50,,40,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_3_4,2015,BNZ,3,4,0.0,52,2,50,75,,,0,0,1,,2015-06-16
leaf_2015_BNZ_3_5,2015,BNZ,3,5,0.0,56,0,85,0,,,3,0,1,,2015-06-16
leaf_2015_BNZ_3_6,2015,BNZ,3,6,0.0,52,0,45,45,,,0,0,3,,2015-06-16
leaf_2015_BNZ_3_7,2015,BNZ,3,7,1.0,,,,,,,,,,,2015-06-16
leaf_2015_BNZ_3_8,2015,BNZ,3,8,1.0,,,,,,,,,,,2015-06-16
leaf_2015_BNZ_4_1,2015,BNZ,4,1,0.0,27,2,0,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_4_2,2015,BNZ,4,2,0.0,40,3,0,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_4_3,2015,BNZ,4,3,0.0,43,2,0,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_4_4,2015,BNZ,4,4,0.0,47,2,0,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_4_5,2015,BNZ,4,5,0.0,49,1,0,0,,,0,0,1,,2015-06-16
leaf_2015_BNZ_4_6,2015,BNZ,4,6,0.0,40,0,0,50,,,7,0,0,,2015-06-16
leaf_2015_BNZ_4_7,2015,BNZ,4,7,0.0,47,0,0,30,,,0,0,0,,2015-06-16
leaf_2015_BNZ_4_8,2015,BNZ,4,8,0.0,44,0,40,30,,,0,0,0,,2015-06-16
leaf_2015_BNZ_4_9,2015,BNZ,4,9,0.0,35,0,45,55,,,0,0,1,,2015-06-16
leaf_2015_BNZ_4_10,2015,BNZ,4,10,0.0,21,2,0,2,,,0,0,0,,2015-06-16
leaf_2015_BNZ_5_1,2015,BNZ,5,1,0.0,48,2,90,75,,,0,0,0,,2015-06-16
leaf_2015_BNZ_5_2,2015,BNZ,5,2,0.0,56,5,60,25,,,0,0,0,,2015-06-16
leaf_2015_BNZ_5_3,2015,BNZ,5,3,0.0,62,2,90,7,,,0,0,0,,2015-06-16
leaf_2015_BNZ_5_4,2015,BNZ,5,4,0.0,57,0,50,18,,,0,0,1,,2015-06-16
leaf_2015_BNZ_5_5,2015,BNZ,5,5,0.0,57,1,25,20,,,0,0,0,,2015-06-16
leaf_2015_BNZ_5_6,2015,BNZ,5,6,0.0,11,1,100,40,,,0,0,1,,2015-06-16
leaf_2015_BNZ_5_7,2015,BNZ,5,7,0.0,13,2,0,0,,,0,0,0,,2015-06-16
leaf_2015_BNZ_5_8,2015,BNZ,5,8,0.0,17,2,0,0,,,10,0,0,,2015-06-16
leaf_2015_BNZ_6_1,2015,BNZ,6,1,0.0,32,2,100,0,,,40,0,0,,2015-06-16
