surface_id,leaf_id,leaf_side,larva_mine_alive_n,larva_mine_dead_n,larva_mine_paras_n,mine_empty_n,larva_fold_alive_n,larva_fold_dead_n,larva_fold_paras_n,pupa_fold_dead_n,pupa_fold_paras_n,pupa_fold_eclose_n,fold_empty_n,pupa_fold_alive_n
surface_2007_BNZ_1_2_T,leaf_2007_BNZ_1_2,T,0,2,0,0,0,0,0,1,0,0,0,1
surface_2007_BNZ_1_2_B,leaf_2007_BNZ_1_2,B,0,3,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_1_3_T,leaf_2007_BNZ_1_3,T,0,3,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_1_3_B,leaf_2007_BNZ_1_3,B,0,1,0,0,0,0,0,0,0,0,1,0
surface_2007_BNZ_1_4_T,leaf_2007_BNZ_1_4,T,0,2,0,0,0,2,0,0,0,0,0,0
surface_2007_BNZ_1_4_B,leaf_2007_BNZ_1_4,B,0,0,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_1_5_T,leaf_2007_BNZ_1_5,T,0,2,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_1_5_B,leaf_2007_BNZ_1_5,B,0,3,0,0,0,1,0,0,0,0,0,0
surface_2007_BNZ_1_6_T,leaf_2007_BNZ_1_6,T,0,3,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_1_6_B,leaf_2007_BNZ_1_6,B,0,2,0,0,0,0,1,0,0,0,0,0
surface_2007_BNZ_1_7_T,leaf_2007_BNZ_1_7,T,1,4,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_1_7_B,leaf_2007_BNZ_1_7,B,0,1,0,0,0,0,1,1,0,0,0,0
surface_2007_BNZ_1_8_T,leaf_2007_BNZ_1_8,T,0,2,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_1_8_B,leaf_2007_BNZ_1_8,B,0,0,0,2,0,0,0,0,0,0,0,0
surface_2007_BNZ_1_9_T,leaf_2007_BNZ_1_9,T,0,1,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_1_9_B,leaf_2007_BNZ_1_9,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_1_10_T,leaf_2007_BNZ_1_10,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_1_10_B,leaf_2007_BNZ_1_10,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_2_2_T,leaf_2007_BNZ_2_2,T,0,1,0,0,0,0,0,1,0,0,0,0
surface_2007_BNZ_2_2_B,leaf_2007_BNZ_2_2,B,0,1,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_2_3_T,leaf_2007_BNZ_2_3,T,0,1,0,0,0,0,1,0,0,0,0,1
surface_2007_BNZ_2_3_B,leaf_2007_BNZ_2_3,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_2_4_T,leaf_2007_BNZ_2_4,T,0,1,0,0,0,0,0,1,0,0,0,0
surface_2007_BNZ_2_4_B,leaf_2007_BNZ_2_4,B,0,2,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_2_5_T,leaf_2007_BNZ_2_5,T,0,1,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_2_5_B,leaf_2007_BNZ_2_5,B,0,2,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_2_6_T,leaf_2007_BNZ_2_6,T,0,0,0,0,0,0,0,0,0,1,0,0
surface_2007_BNZ_2_6_B,leaf_2007_BNZ_2_6,B,0,0,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_2_7_T,leaf_2007_BNZ_2_7,T,0,2,1,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_2_7_B,leaf_2007_BNZ_2_7,B,0,1,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_2_8_T,leaf_2007_BNZ_2_8,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_2_8_B,leaf_2007_BNZ_2_8,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_1_T,leaf_2007_BNZ_3_1,T,0,0,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_3_1_B,leaf_2007_BNZ_3_1,B,0,1,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_2_T,leaf_2007_BNZ_3_2,T,0,1,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_3_2_B,leaf_2007_BNZ_3_2,B,0,2,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_3_3_T,leaf_2007_BNZ_3_3,T,0,2,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_3_3_B,leaf_2007_BNZ_3_3,B,0,0,0,1,0,0,1,0,0,0,0,1
surface_2007_BNZ_3_4_T,leaf_2007_BNZ_3_4,T,0,4,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_4_B,leaf_2007_BNZ_3_4,B,0,0,0,2,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_6_T,leaf_2007_BNZ_3_6,T,0,2,1,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_6_B,leaf_2007_BNZ_3_6,B,0,0,0,2,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_8_T,leaf_2007_BNZ_3_8,T,0,1,0,0,0,1,0,0,0,0,0,0
surface_2007_BNZ_3_8_B,leaf_2007_BNZ_3_8,B,0,0,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_9_T,leaf_2007_BNZ_3_9,T,0,0,1,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_9_B,leaf_2007_BNZ_3_9,B,0,1,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_10_T,leaf_2007_BNZ_3_10,T,0,0,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_10_B,leaf_2007_BNZ_3_10,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_11_T,leaf_2007_BNZ_3_11,T,1,3,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_11_B,leaf_2007_BNZ_3_11,B,1,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_12_T,leaf_2007_BNZ_3_12,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_3_12_B,leaf_2007_BNZ_3_12,B,2,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_4_2_T,leaf_2007_BNZ_4_2,T,0,1,0,0,0,0,1,0,0,0,0,0
surface_2007_BNZ_4_2_B,leaf_2007_BNZ_4_2,B,0,1,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_4_3_T,leaf_2007_BNZ_4_3,T,0,2,0,0,0,0,1,0,0,0,0,0
surface_2007_BNZ_4_3_B,leaf_2007_BNZ_4_3,B,0,1,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_4_4_T,leaf_2007_BNZ_4_4,T,0,2,0,0,0,0,0,0,1,0,0,0
surface_2007_BNZ_4_4_B,leaf_2007_BNZ_4_4,B,0,1,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_4_5_T,leaf_2007_BNZ_4_5,T,0,1,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_4_5_B,leaf_2007_BNZ_4_5,B,0,0,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_4_6_T,leaf_2007_BNZ_4_6,T,1,2,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_4_6_B,leaf_2007_BNZ_4_6,B,0,1,0,0,0,1,0,0,0,0,0,0
surface_2007_BNZ_4_7_T,leaf_2007_BNZ_4_7,T,0,2,1,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_4_7_B,leaf_2007_BNZ_4_7,B,0,2,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_5_2_T,leaf_2007_BNZ_5_2,T,0,2,0,0,0,1,0,0,0,0,0,0
surface_2007_BNZ_5_2_B,leaf_2007_BNZ_5_2,B,0,2,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_5_3_T,leaf_2007_BNZ_5_3,T,0,2,0,0,0,0,0,0,1,0,0,0
surface_2007_BNZ_5_3_B,leaf_2007_BNZ_5_3,B,0,2,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_5_4_T,leaf_2007_BNZ_5_4,T,0,3,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_5_4_B,leaf_2007_BNZ_5_4,B,0,3,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_5_5_T,leaf_2007_BNZ_5_5,T,0,3,0,0,0,0,1,0,0,0,0,0
surface_2007_BNZ_5_5_B,leaf_2007_BNZ_5_5,B,0,2,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_5_6_T,leaf_2007_BNZ_5_6,T,0,3,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_5_6_B,leaf_2007_BNZ_5_6,B,0,1,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_5_7_T,leaf_2007_BNZ_5_7,T,0,2,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_5_7_B,leaf_2007_BNZ_5_7,B,0,2,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_5_8_T,leaf_2007_BNZ_5_8,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_5_8_B,leaf_2007_BNZ_5_8,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_6_1_T,leaf_2007_BNZ_6_1,T,0,1,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_6_1_B,leaf_2007_BNZ_6_1,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_6_2_T,leaf_2007_BNZ_6_2,T,0,0,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_6_2_B,leaf_2007_BNZ_6_2,B,0,1,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_6_3_T,leaf_2007_BNZ_6_3,T,0,0,0,0,0,0,1,0,0,0,0,1
surface_2007_BNZ_6_3_B,leaf_2007_BNZ_6_3,B,0,1,0,0,0,0,0,0,0,0,0,2
surface_2007_BNZ_6_4_T,leaf_2007_BNZ_6_4,T,0,3,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_6_4_B,leaf_2007_BNZ_6_4,B,0,1,1,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_7_1_T,leaf_2007_BNZ_7_1,T,0,2,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_7_1_B,leaf_2007_BNZ_7_1,B,0,0,1,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_7_2_T,leaf_2007_BNZ_7_2,T,0,1,1,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_7_2_B,leaf_2007_BNZ_7_2,B,0,0,0,0,0,0,1,0,0,0,0,2
surface_2007_BNZ_7_3_T,leaf_2007_BNZ_7_3,T,0,3,0,0,0,0,1,0,0,0,0,0
surface_2007_BNZ_7_3_B,leaf_2007_BNZ_7_3,B,0,0,1,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_7_4_T,leaf_2007_BNZ_7_4,T,0,3,0,0,0,1,0,0,0,0,0,0
surface_2007_BNZ_7_4_B,leaf_2007_BNZ_7_4,B,0,0,0,0,0,0,1,0,0,0,0,1
surface_2007_BNZ_7_5_T,leaf_2007_BNZ_7_5,T,0,1,0,0,0,0,0,0,1,0,0,2
surface_2007_BNZ_7_5_B,leaf_2007_BNZ_7_5,B,0,1,0,0,0,0,1,0,0,0,0,2
surface_2007_BNZ_7_6_T,leaf_2007_BNZ_7_6,T,0,4,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_7_6_B,leaf_2007_BNZ_7_6,B,0,2,0,0,0,0,1,0,0,0,0,0
surface_NA_NA_7_6_T,leaf_NA_NA_7_6,T,0,0,0,0,0,1,0,0,0,0,0,0
surface_NA_NA_7_6_B,leaf_NA_NA_7_6,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_7_7_T,leaf_2007_BNZ_7_7,T,0,2,0,0,1,1,0,0,1,0,0,0
surface_2007_BNZ_7_7_B,leaf_2007_BNZ_7_7,B,0,0,1,1,0,0,0,0,0,0,0,2
surface_2007_BNZ_7_8_T,leaf_2007_BNZ_7_8,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_7_8_B,leaf_2007_BNZ_7_8,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_7_9_T,leaf_2007_BNZ_7_9,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_7_9_B,leaf_2007_BNZ_7_9,B,1,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_7_10_T,leaf_2007_BNZ_7_10,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_7_10_B,leaf_2007_BNZ_7_10,B,1,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_7_11_T,leaf_2007_BNZ_7_11,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_7_11_B,leaf_2007_BNZ_7_11,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_8_1_T,leaf_2007_BNZ_8_1,T,0,4,0,0,0,0,0,0,1,0,0,0
